Date,DaysToNextTradingDay,DayBeforeHoliday,Volume,Return,OvernightReturn,IntradayTradingRange,BBBBondMargin,CorporateBondMargin,Dispersion
2017-05-26,4,Yes,924047378.75,2.3518545733596026e-4,-4.050574507339283e-4,0.012182657772557823,0.5999999999999996,0.2599999999999998,0.00811420896848305
2017-05-30,1,No,1090817150,-0.002130386987008041,-0.0020788068094818994,0.013624528075633658,0.6000000000000001,0.26000000000000023,0.01053002781907765
2017-05-31,1,No,1603520958.75,9.166612909245421e-4,5.142671691704172e-4,0.015914088384962412,0.6299999999999999,0.28000000000000025,0.009258308997040788
2017-06-01,1,No,1308000492.25,0.009626594318496622,0.001049224389781172,0.018867784450566333,0.6299999999999999,0.2799999999999998,0.02450770630670648
2017-06-02,3,No,1233207724,-5.14747288534927e-4,5.980577750665556e-5,0.015332566899965218,0.6299999999999999,0.2799999999999998,0.010560760642780255
2017-06-05,1,No,1018209024.25,-0.002656620248427342,-0.001236383650925766,0.013578360677127577,0.6299999999999999,0.29000000000000004,0.00786094606565107
2017-06-06,1,No,1197383528.25,-0.004101044763971193,-0.0027098011498256527,0.015649480126982807,0.6200000000000001,0.28000000000000025,0.01294443636670807
2017-06-07,1,No,1233163823.75,-3.7503528951012525e-4,0.0011192566582808787,0.016517715735973822,0.6299999999999999,0.29000000000000004,0.013953943991549575
2017-06-08,1,No,1380878469.25,3.3068687027227884e-4,4.1935136988013796e-4,0.018897725259960304,0.6200000000000001,0.28000000000000025,0.013406597993362206
2017-06-09,3,No,1440598156.25,0.007815371072108869,0.0012634970214320175,0.022516331223882476,0.6200000000000001,0.29000000000000004,0.01873994630265112
2017-06-12,1,No,1544828312.5,0.001995234352408266,3.2135803789945516e-4,0.020568997004832695,0.6199999999999997,0.29000000000000004,0.010599607257965701
2017-06-13,1,No,1147012956.5,0.005790077754084889,0.0013565725205410934,0.015412522725315049,0.6199999999999997,0.2799999999999998,0.009307120241100654
2017-06-14,1,No,1245526156,-0.0018901991904405027,8.713251850141492e-4,0.01902913820523599,0.6200000000000001,0.29000000000000004,0.013044243115876663
2017-06-15,1,No,1218975765,-0.0022453757429913906,-0.006281674294210337,0.017839191117191282,0.6200000000000001,0.2799999999999998,0.016159184261916912
2017-06-16,3,No,2123513135,7.761433992592299e-4,1.0167388547358917e-4,0.01776026559609985,0.6200000000000001,0.28000000000000025,0.02358079865203392
2017-06-19,1,No,1193276917,0.004888960370623784,0.003250351284015855,0.015346289183359207,0.6299999999999999,0.29000000000000004,0.012970935054850875
2017-06-20,1,No,1218098783,-0.008354598441004722,-0.002383084439390987,0.016343457709803156,0.6300000000000003,0.30000000000000027,0.011837061323548349
2017-06-21,1,No,1321885590,-0.004944525828843931,0.0013860453353387267,0.018534165316761456,0.6499999999999999,0.31000000000000005,0.01621653567699496
2017-06-22,1,No,1195511978,1.5778473432690838e-5,7.010547093324771e-4,0.015726689671361184,0.6499999999999999,0.31000000000000005,0.011601963213612565
2017-06-23,3,No,1554656368,0.0018640176132025833,6.734596773861099e-4,0.016103283591313185,0.6500000000000004,0.31000000000000005,0.013810948948788222
2017-06-26,1,No,1067980087,0.003706998388951993,0.0024211933301292485,0.015585117150821901,0.6499999999999999,0.31000000000000005,0.008963105184548788
2017-06-27,1,No,1227398657,-0.005683220737057,-1.5670323546747498e-4,0.016263412814686837,0.6499999999999999,0.31000000000000005,0.010738690945951786
2017-06-28,1,No,1225434484,0.007508726639413063,0.005105739370374719,0.01624543136508015,0.6400000000000001,0.30000000000000027,0.011013671349692866
2017-06-29,1,No,1597977253,-0.005723359481780279,0.002557438656587496,0.021530612197279093,0.6399999999999997,0.29000000000000004,0.013354727526998034
2017-06-30,3,No,1343562678,0.0032743549348719066,0.004967176492988699,0.015656583739944788,0.6599999999999997,0.31000000000000005,0.011346216320261417
2017-07-03,2,Yes,779006717,0.006092654041415002,0.004251786070970078,0.016626426658222088,0.6499999999999999,0.2999999999999998,0.012967291591937128
2017-07-05,1,No,1242440467,-0.003405243588606639,-3.6183825974063264e-5,0.018073947835593105,0.6599999999999997,0.31000000000000005,0.01901263936020735
2017-07-06,1,No,1273125929,-0.010462249687638684,-0.0032584017076760442,0.01706309073006111,0.6599999999999997,0.3099999999999996,0.012989805013582914
2017-07-07,3,No,1032510266,0.004745830633211535,0.0019316889000666664,0.015295604903506756,0.6600000000000001,0.31000000000000005,0.009766155912244898
2017-07-10,1,No,1067956549,-4.955484433002858e-4,-0.0010436051294933238,0.015581608547082529,0.6499999999999999,0.31000000000000005,0.012914582798165108
2017-07-11,1,No,1063029710,-0.001054255188830806,-9.829852231476693e-5,0.014676104690297556,0.6499999999999999,0.2999999999999998,0.007989006692184497
2017-07-12,1,No,1096450152,0.005073841097356282,0.005810476807634378,0.014448405443092888,0.6499999999999999,0.31000000000000005,0.009160766153232589
2017-07-13,1,No,1053634459,0.003522910626226755,0.001529516468199297,0.01372198286235698,0.6499999999999999,0.2999999999999998,0.010827455783264018
2017-07-14,3,No,1008039777,0.004132419517402028,0.0010736647558903312,0.012869976439305125,0.6499999999999999,0.30000000000000027,0.007616498314319839
2017-07-17,1,No,1003517962,0.0012785203396166475,-2.274560786454477e-4,0.0124990771057645,0.6399999999999997,0.2999999999999998,0.00716514477016508
2017-07-18,1,No,1045361990,-0.003062776682619418,-0.0013683952455655652,0.013906546295182436,0.6400000000000001,0.2999999999999998,0.008967498844691031
2017-07-19,1,No,1110843005,0.005624471801156959,0.00124018778910705,0.015185723607325377,0.6300000000000003,0.29000000000000004,0.015027468610123515
2017-07-20,1,No,1258678454,-0.0010178940244396973,0.0011411167192368692,0.016766508855578656,0.6200000000000001,0.28000000000000025,0.012788245501623274
2017-07-21,3,No,1211234637,-3.364253188705861e-4,-0.0022431899259256517,0.015475679224225289,0.6200000000000001,0.29000000000000004,0.013248379585556403
2017-07-24,1,No,1082525711,-0.002466913087705358,-5.015760889811146e-4,0.013751421759901647,0.6100000000000003,0.27,0.011633908221075445
2017-07-25,1,No,1494967071,0.006658632857654085,0.0056162341060275855,0.017355809349991588,0.6000000000000001,0.26000000000000023,0.016805521393978236
2017-07-26,1,No,1266771827,-0.0024756372061575547,0.0011237758329420032,0.01824809839778164,0.5900000000000003,0.26000000000000023,0.01568117473306759
2017-07-27,1,No,1526016900,-9.54780202642504e-5,-2.2736132326254028e-4,0.023187717226111564,0.5900000000000003,0.26000000000000023,0.019974703208217898
2017-07-28,3,No,1270567659,-0.0032445359953729215,-0.0023267593975936527,0.019015105103558253,0.5900000000000003,0.26000000000000023,0.01794826345179169
2017-07-31,1,No,1288560156,1.915286604504981e-4,0.001414340348553402,0.015153356958392495,0.6000000000000001,0.26000000000000023,0.010393595820877392
2017-08-01,1,No,1245088614,2.868392184476359e-4,0.002344493279080675,0.016879655671770754,0.6100000000000003,0.27,0.013476688088464469
2017-08-02,1,No,1267415900,-0.002571794666440578,-0.0018978436519881273,0.018354429161071745,0.6000000000000001,0.26000000000000023,0.01641328552102038
2017-08-03,1,No,1248568227,-0.0020167386614899003,-6.878551777900586e-4,0.018108148689527488,0.6099999999999999,0.27,0.013940316068673778
